iter	RMSE
0	13.63154118
1	13.05511269
2	12.58288155
3	12.15224009
4	11.78330518
5	11.45214017
6	11.17897699
7	10.94532141
8	10.74370907
9	10.55487121
10	10.40959088
11	10.25503827
12	10.13078303
13	10.01902157
14	9.924084581
15	9.83394949
16	9.757777151
17	9.692930031
18	9.615508613
19	9.557289038
20	9.496869273
21	9.445581141
22	9.389091008
23	9.340632218
24	9.307198981
25	9.260854526
26	9.230671978
27	9.193896159
28	9.158339078
29	9.12451444
30	9.090266436
31	9.072873276
32	9.048945605
33	9.024445799
34	8.98791598
35	8.95865242
36	8.940831992
37	8.922666038
38	8.890656624
39	8.867628571
40	8.852662117
41	8.831107699
42	8.802464314
43	8.790174351
44	8.768752046
45	8.752445213
46	8.73579585
47	8.724819504
48	8.699569685
49	8.6824259
50	8.669126882
51	8.65905121
52	8.644801527
53	8.622181514
54	8.608333405
55	8.587316671
56	8.57640255
57	8.558944103
58	8.544408234
59	8.524313473
60	8.51688988
61	8.507028645
62	8.490646395
63	8.469577605
64	8.456728128
65	8.440622223
66	8.425999325
67	8.418647234
68	8.403324024
69	8.391599453
70	8.379281817
71	8.368340362
72	8.355771802
73	8.345674675
74	8.32246367
75	8.30102681
76	8.291514958
77	8.274955233
78	8.268545467
79	8.261745734
80	8.249218464
81	8.229531407
82	8.212667074
83	8.202924878
84	8.196080028
85	8.18505357
86	8.172456031
87	8.158392601
88	8.14651611
89	8.132481887
90	8.125704593
91	8.112551883
92	8.10363544
93	8.091593517
94	8.082621249
95	8.072894923
96	8.057214413
97	8.0447465
98	8.032901434
99	8.015538712
100	8.006182825
101	7.99207706
102	7.978706538
103	7.965599946
104	7.954495363
105	7.942049071
106	7.936442485
107	7.926540442
108	7.914430274
109	7.9035904
110	7.891488757
111	7.879673101
112	7.868572841
113	7.857240366
114	7.848700102
115	7.83225456
116	7.824105573
117	7.810335177
118	7.801873366
119	7.795043699
120	7.786415043
121	7.770331058
122	7.762196028
123	7.753687225
124	7.740062045
125	7.730782341
126	7.725103893
127	7.715867241
128	7.707709231
129	7.697360391
130	7.685914606
131	7.680023811
132	7.669392445
133	7.666141052
134	7.655618439
135	7.645337966
136	7.631426561
137	7.620003895
138	7.610566683
139	7.602576084
140	7.595425017
141	7.585726182
142	7.576633507
143	7.568876197
144	7.561486417
145	7.552858169
146	7.542966051
147	7.533298353
148	7.520390742
149	7.515374231
150	7.506883506
151	7.496212255
152	7.487415883
153	7.477226341
154	7.471148176
155	7.462199599
156	7.453664624
157	7.445590514
158	7.438457616
159	7.428649352
160	7.420840791
161	7.415578636
162	7.403774571
163	7.396329303
164	7.389950202
165	7.382148418
166	7.376195993
167	7.370053245
168	7.364416691
169	7.358423525
170	7.350528817
171	7.343458932
172	7.335880761
173	7.331495063
174	7.324433741
175	7.317187249
176	7.307018783
177	7.299716379
178	7.294902325
179	7.287409334
180	7.283025793
181	7.273890083
182	7.263679646
183	7.256333519
184	7.250690788
185	7.250263843
186	7.244219518
187	7.238490696
188	7.231081374
189	7.22270394
190	7.222632331
191	7.216036074
192	7.207207574
193	7.200365741
194	7.200176552
195	7.194624829
196	7.187490173
197	7.18743971
198	7.184932353
199	7.175062284
