iter	Passed	Remaining
0	8	1787
1	16	1593
2	22	1509
3	29	1461
4	36	1429
5	43	1414
6	51	1408
7	58	1408
8	65	1399
9	73	1389
10	80	1377
11	87	1377
12	95	1368
13	102	1357
14	109	1347
15	115	1327
16	120	1301
17	126	1280
18	132	1261
19	137	1241
20	143	1227
21	150	1215
22	156	1205
23	163	1196
24	169	1185
25	175	1173
26	179	1151
27	184	1135
28	189	1118
29	195	1105
30	200	1090
31	204	1073
32	209	1061
33	214	1045
34	218	1032
35	224	1021
36	228	1007
37	233	994
38	238	982
39	242	971
40	247	960
41	252	949
42	256	937
43	261	926
44	265	914
45	269	903
46	274	892
47	278	880
48	282	870
49	287	861
50	291	852
51	295	842
52	300	833
53	304	823
54	308	814
55	313	805
56	317	795
57	321	787
58	326	779
59	330	770
60	334	762
61	338	754
62	343	745
63	347	737
64	351	730
65	355	722
66	360	714
67	364	708
68	369	701
69	373	693
70	377	686
71	382	679
72	386	673
73	391	666
74	395	659
75	400	652
76	404	646
77	408	639
78	412	632
79	417	625
80	421	618
81	426	613
82	431	607
83	435	601
84	439	595
85	444	588
86	448	583
87	453	577
88	457	570
89	462	565
90	467	559
91	471	553
92	475	547
93	480	541
94	484	535
95	489	529
96	493	523
97	497	517
98	502	512
99	506	506
100	511	501
101	516	496
102	520	490
103	525	484
104	529	479
105	534	474
106	539	468
107	543	463
108	547	457
109	552	451
110	556	446
111	561	441
112	565	435
113	570	430
114	575	425
115	580	420
116	584	414
117	589	409
118	593	403
119	597	398
120	601	392
121	605	387
122	610	382
123	614	376
124	620	372
125	624	367
126	629	361
127	633	356
128	637	350
129	641	345
130	646	340
131	650	335
132	655	330
133	659	325
134	665	320
135	669	315
136	674	309
137	678	304
138	683	299
139	687	294
140	692	289
141	697	284
142	701	279
143	706	274
144	710	269
145	715	264
146	720	259
147	724	254
148	729	249
149	734	244
150	738	239
151	743	234
152	748	229
153	752	224
154	756	219
155	761	214
156	765	209
157	770	204
158	775	200
159	780	195
160	784	190
161	788	185
162	793	180
163	798	175
164	803	170
165	807	165
166	812	160
167	816	155
168	821	150
169	826	145
170	830	140
171	835	135
172	839	131
173	843	126
174	848	121
175	852	116
176	857	111
177	862	106
178	866	101
179	870	96
180	875	91
181	880	87
182	885	82
183	889	77
184	893	72
185	896	67
186	900	62
187	904	57
188	908	52
189	914	48
190	917	43
191	922	38
192	926	33
193	930	28
194	933	23
195	937	19
196	941	14
197	943	9
198	948	4
199	953	0
