DATETIME,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,feels_like,humidity,wind_speed,rain_1h,clouds_all,year,month,day,hour,minute,second,day_of_week,is_weekend,ENTITY_DESCRIPTION_SHORT_Pirate Ship,ENTITY_DESCRIPTION_SHORT_Water Ride
2019-11-23 10:45:00,247.0,0,20,375.0,75.0,675.0,6.0,97.5,5.525,1.6425,100.0,2019,11,23,10,45,0,5,1,False,True
2022-01-03 16:45:00,153.0,0,45,100000.0,100000.0,100000.0,10.645,96.5,6.0025,0.7825,100.0,2022,1,3,16,45,0,0,0,True,False
2021-12-04 15:30:00,255.0,0,40,100000.0,100000.0,100000.0,4.43,82.0,5.42,0.195,88.5,2021,12,4,15,30,0,5,1,True,False
2020-02-05 13:15:00,247.0,0,15,225.0,100000.0,345.0,8.355,74.5,1.6475,0.350360824742268,100.0,2020,2,5,13,15,0,2,0,False,True
2022-05-13 15:15:00,756.0,0,35,135.0,100000.0,465.0,20.0025,46.5,2.205,0.2351395939086294,17.75,2022,5,13,15,15,0,4,0,False,False
2020-01-04 10:00:00,221.0,0,50,420.0,120.0,720.0,0.07,97.0,3.04,0.1784070796460177,64.0,2020,1,4,10,0,0,5,1,True,False
2020-10-03 14:00:00,247.0,0,15,100000.0,100000.0,100000.0,13.33,78.0,4.97,0.122,100.0,2020,10,3,14,0,0,5,1,False,True
2021-06-26 10:45:00,756.0,0,20,100000.0,100000.0,100000.0,16.505,96.0,1.3025,0.13875,54.0,2021,6,26,10,45,0,5,1,False,False
2018-11-11 19:30:00,756.0,0,5,-150.0,-460.0,90.0,10.43,85.0,3.73,0.395,99.0,2018,11,11,19,30,0,6,1,False,False
2018-10-10 14:15:00,756.0,0,25,195.0,-125.0,345.0,23.3675,56.0,3.14,0.128110465116279,3.0,2018,10,10,14,15,0,2,0,False,False
2019-04-22 19:15:00,247.0,0,20,-105.0,100000.0,165.0,22.1775,32.5,2.4475,0.1662011173184357,92.75,2019,4,22,19,15,0,0,0,False,True
2019-07-03 11:45:00,247.0,0,20,345.0,100000.0,675.0,21.57,53.75,4.8,0.2040128205128205,17.25,2019,7,3,11,45,0,2,0,False,True
2020-10-07 13:45:00,756.0,0,5,100000.0,100000.0,100000.0,15.68,73.75,6.0875,0.12,82.25,2020,10,7,13,45,0,2,0,False,False
2022-07-17 12:30:00,247.0,0,25,300.0,100000.0,630.0,26.79,38.0,3.165,0.1522297297297297,74.0,2022,7,17,12,30,0,6,1,False,True
2022-05-05 16:45:00,306.0,0,35,45.0,100000.0,375.0,16.93,67.5,3.955,0.22,47.75,2022,5,5,16,45,0,3,0,True,False
2020-03-08 12:45:00,247.0,0,25,255.0,100000.0,435.0,6.6425,87.5,7.85,0.1725,100.0,2020,3,8,12,45,0,6,1,False,True
2018-10-06 16:30:00,280.5,0,70,60.0,-260.0,330.0,21.835,45.5,4.19,0.1359036144578313,25.0,2018,10,6,16,30,0,5,1,True,False
2022-06-05 15:00:00,756.0,0,50,150.0,100000.0,480.0,20.09,88.0,3.88,0.295,99.0,2022,6,5,15,0,0,6,1,False,False
2019-09-29 17:15:00,756.0,0,5,15.0,-285.0,225.0,19.285,83.25,9.615,0.265,63.25,2019,9,29,17,15,0,6,1,False,False
2019-09-06 18:30:00,756.0,0,25,-60.0,100000.0,150.0,19.345,41.5,3.355,0.1379185520361991,100.0,2019,9,6,18,30,0,4,0,False,False
